"","CO_I1","CO_I2","CO_I3","CO_I4","CO_I5","CO_I6","CO_I7","CO_I8","CO_I9","RS_I1","RS_I2","RS_I3","RS_I4","RS_I5","RS_I6","RS_I7","RS_I8","RS_I9","RS_I10","LOT_I1","LOT_I2","LOT_I3","LOT_I4","LOT_I5","LOT_I6","LOT_I7","LOT_I8","LOT_I9","LOT_I10","GPA"
"442",4,2,4,2,4,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,2,2,2,4,3,4,2,2,3,3.64
"443",4,4,4,4,3,4,3,3,3,3,3,4,3,4,4,3,3,4,3,3,3,3,4,5,4,4,5,4,4,3.07
"444",4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,4,3,4,3,5,2,4,3.46
"445",4,4,4,4,4,3,3,2,3,3,4,2,3,2,2,2,3,2,3,4,5,4,2,3,5,2,4,3,3,3.81
"446",3,3,4,4,2,3,3,4,3,3,3,3,3,3,2,3,3,3,3,3,2,3,4,4,3,3,4,3,2,3.25
"447",4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,5,5,4,4,4,3,4,4,5,4.07
"448",3,4,3,3,3,4,3,3,2,1,1,2,1,1,2,1,2,3,2,4,4,2,2,2,4,2,3,2,3,3.12
"449",3,4,4,4,1,2,2,1,1,3,2,4,3,4,1,3,1,1,2,4,1,4,3,4,5,4,2,3,4,3.77
"450",3,3,3,1,2,2,2,3,1,1,1,2,2,2,1,2,1,1,1,3,2,3,2,3,4,2,1,2,2,3.64
"451",4,3,3,2,3,3,3,2,2,4,3,4,3,3,2,2,3,3,3,4,5,2,5,4,5,4,4,4,4,4.07
"452",3,2,3,3,2,4,2,3,2,3,3,3,3,3,3,3,2,3,3,4,2,2,4,4,5,2,2,2,2,3.52
"453",2,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,4,4,4,4,3.38
"455",4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,2,3,4,4,5,4,4,4,4,3.55
"456",4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,4,3,3,2,2,4,4,5,2,4,2,3,3.77
"457",4,3,4,3,3,4,2,3,2,2,3,2,2,3,2,2,3,3,3,2,3,1,2,5,4,3,3,3,2,3.29
"458",4,4,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,2,4,3,3,4,5,2,5,2,2,3.68
"459",4,4,4,3,2,4,2,3,2,3,1,2,2,2,2,2,2,2,1,1,2,2,2,4,3,2,3,2,2,3.98
"460",3,3,3,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,4,4,3,4,2.9
"461",3,4,3,3,3,3,2,2,2,2,3,2,2,2,2,2,2,3,2,2,4,4,4,5,4,4,2,4,4,3.42
"462",4,4,4,3,4,4,4,4,4,3,3,3,3,4,4,4,3,4,4,2,4,4,4,5,4,5,4,5,4,3.52
"463",3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,5,4,4,4,2,4,2,4,4,3.51
"464",4,4,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,2,2,4,4,3,4,2,2,5,3.77
"465",3,3,4,2,3,4,4,3,2,2,2,2,3,2,2,2,2,2,2,3,3,2,3,5,4,2,3,2,3,3.38
"466",4,4,4,4,3,4,3,3,2,3,4,3,3,3,3,3,3,3,3,5,3,2,3,5,5,2,3,4,4,3.07
"468",4,3,4,3,3,4,3,3,2,3,3,3,3,3,3,3,3,3,2,3,2,3,3,5,4,4,2,4,3,3.55
"470",3,2,3,3,1,3,3,3,2,3,3,3,3,3,3,3,2,3,2,2,1,3,2,5,3,3,2,3,2,3.25
"471",2,2,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,4,4,2,4,4,3,3,4,4,4,3.11
"472",4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,3,3,3,4,3,3,3,4,5,3,3,4,3,3.25
"473",3,3,4,3,3,3,3,2,2,2,3,3,2,2,2,3,2,3,3,5,5,3,3,4,5,4,4,4,3,3.68
"474",4,4,4,3,4,4,4,3,4,3,3,3,3,3,3,3,3,4,3,3,4,4,4,5,5,4,4,4,4,4.24
"475",4,3,4,3,4,4,3,4,3,3,4,3,4,4,4,3,3,4,4,3,2,4,4,5,4,3,3,4,4,3.46
"476",4,3,4,3,2,3,2,3,2,2,3,2,2,2,2,2,2,4,3,3,4,2,2,3,4,3,3,1,5,3.46
"477",4,4,4,3,4,4,4,4,2,3,3,4,3,4,3,3,4,3,4,5,4,4,4,5,5,3,4,2,4,4.11
"478",3,3,4,4,2,3,3,2,2,3,3,2,3,2,3,3,3,3,3,4,5,3,4,4,4,4,5,4,3,3.09
"479",4,2,3,2,1,2,2,2,2,3,4,3,4,3,3,3,3,3,3,2,4,4,4,4,4,4,5,4,4,4.07
"480",4,3,4,3,3,3,3,3,2,4,4,4,3,4,4,4,4,4,4,2,3,5,4,5,4,5,3,5,5,3.74
"481",4,4,4,4,4,4,4,4,3,3,4,4,3,4,3,3,3,4,2,4,3,4,3,4,4,4,4,4,4,3.68
"482",4,4,4,3,3,4,3,2,2,3,3,3,4,3,3,3,3,3,3,2,1,4,3,4,5,4,4,4,4,0.17
"483",3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,5,3,3,4,4,2.99
"484",4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,3,3,3,3,4,2,3,2,2,5,4,3,2,4,4.16
"485",3,1,2,2,2,3,3,2,2,3,3,3,3,3,3,3,2,3,3,4,2,2,3,4,3,4,2,4,4,3.2
"486",4,4,4,4,4,4,4,3,4,3,3,3,3,3,2,3,3,2,3,3,1,2,3,4,3,3,2,4,3,2.94
"487",4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,5,4,4,4,4,3.42
"488",4,3,4,4,3,3,3,3,3,3,4,4,3,3,3,3,3,4,4,4,4,3,4,5,4,4,3,4,4,3.42
"489",3,3,4,3,3,3,3,3,3,3,3,4,3,4,3,4,3,3,3,3,2,3,5,5,4,3,2,3,3,3.35
"490",4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,2,4,4,4,5,5,2,4,3,4,3.25
"491",3,4,4,4,4,4,3,4,3,3,3,3,3,4,3,3,3,3,4,4,4,4,3,4,5,4,4,5,4,3.46
"492",4,3,4,2,2,3,3,3,2,3,3,3,3,4,3,4,4,4,3,4,5,4,5,5,4,3,3,5,4,3.29
"493",4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,2,4,5,4.07
"494",4,4,3,3,3,3,3,3,3,3,3,2,3,3,2,2,2,3,2,1,4,4,2,4,4,4,4,3,4,3.46
"496",4,4,4,3,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,3.94
"497",2,3,4,4,2,3,4,2,2,4,3,3,2,3,3,3,3,4,3,4,3,2,3,3,4,4,3,4,5,2.81
"498",3,4,3,2,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,2,3,4,2,5,3,4,1,3,3,2.81
"500",3,3,3,2,3,3,3,3,1,3,4,3,3,4,4,4,4,4,4,4,3,2,3,5,5,3,2,3,5,2.99
"501",3,3,3,2,2,3,1,2,2,3,3,3,3,3,3,2,3,2,3,4,5,4,4,5,4,4,5,4,4,1.52
"502",4,3,4,4,3,3,2,3,2,3,3,3,3,3,2,3,3,3,3,2,2,3,3,4,4,2,3,3,3,3.08
"503",3,4,3,3,2,1,3,4,2,3,3,3,1,3,2,2,2,3,3,2,1,5,4,4,4,1,4,1,2,3.03
"504",3,4,4,2,2,3,3,2,3,2,3,2,3,3,2,2,2,4,3,4,3,3,2,5,3,3,4,4,4,2.38
"506",4,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,1,3,2,4,4,4,2,3,3,3.12
"508",4,4,4,4,3,4,3,4,4,2,1,2,3,2,2,2,1,2,2,2,4,4,3,4,4,1,4,1,2,3.72
"509",3,2,4,4,3,4,4,3,3,3,4,3,3,3,3,3,3,4,3,4,3,5,5,5,5,4,2,3,4,3.77
"510",4,4,4,4,3,3,4,3,3,3,3,3,4,3,3,3,3,4,4,4,3,4,4,5,4,4,2,4,4,3.46
"511",4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,5,4,5,5,3.59
"513",4,4,4,4,4,4,4,3,1,2,1,3,2,4,3,3,4,3,3,3,3,3,4,4,3,2,2,4,5,3.98
"514",3,2,3,2,3,3,3,3,2,3,3,2,3,3,3,2,2,3,3,3,4,3,4,5,4,2,3,2,3,3.59
"515",3,4,4,2,2,3,2,3,3,2,1,1,2,2,1,1,3,2,1,1,2,2,2,3,2,1,1,2,1,3.46
"516",4,2,4,3,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,4,3,5,5,4,3,4,1,5,3.25
"518",3,3,4,3,2,4,3,4,3,3,3,2,3,3,2,2,2,3,3,2,2,2,2,5,4,4,2,3,4,3.46
"519",4,4,3,4,3,4,3,4,3,3,4,4,3,4,4,3,3,4,4,5,5,2,5,5,5,5,3,5,4,3.38
"520",3,2,4,3,3,2,3,3,3,3,3,3,2,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3.59
"521",4,4,4,4,4,4,4,4,2,2,3,3,2,3,2,3,3,3,3,1,3,3,2,5,5,3,2,3,3,3.64
"522",4,4,3,4,3,4,3,3,2,4,4,4,4,4,4,4,4,4,4,5,4,3,5,5,4,3,4,1,5,3.12
"523",4,3,4,4,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,4,5,5,3,5,4,4,3.57
"524",3,3,4,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,4,4,4,3,3,3,3,3.25
"525",3,4,3,4,4,4,2,3,3,3,4,3,3,3,3,3,3,4,4,3,1,4,4,4,5,4,2,4,3,3.55
"527",4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,2,5,4,3.03
"529",4,4,4,4,3,3,3,3,4,3,3,4,3,3,3,3,2,4,3,2,3,5,2,5,5,4,4,4,4,3.33
"531",4,4,4,4,3,3,4,3,3,3,3,3,3,4,3,3,3,4,4,5,4,3,5,4,4,4,1,5,5,2.86
"532",4,3,4,3,4,4,3,3,2,3,3,3,3,3,2,3,3,3,3,4,2,3,3,3,5,2,4,2,4,3.16
"533",4,3,4,3,3,3,4,3,2,3,3,3,3,3,3,3,4,4,4,4,3,3,5,5,5,5,2,5,5,3.18
"534",3,2,3,3,3,4,3,2,2,2,1,2,2,2,1,2,2,3,2,3,2,1,1,4,4,2,3,3,2,3.25
"535",4,3,4,2,3,2,3,1,2,3,3,2,2,2,3,2,2,3,3,3,1,2,2,3,5,2,1,2,3,3.2
"536",4,4,4,4,3,3,3,3,3,3,4,3,4,4,3,3,3,3,3,2,3,4,3,5,3,4,2,4,4,3.78
"537",3,4,4,3,2,3,3,3,2,3,3,3,3,3,4,4,4,4,4,5,4,3,4,5,4,4,4,4,5,2.91
"538",4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,3,3,4,4,4,3,3,3,4,4,3,4,3,3,3.29
"539",4,4,4,4,3,4,3,4,2,3,4,3,3,3,2,3,2,2,3,2,3,3,2,4,5,2,3,2,3,3.03
"542",4,4,4,4,4,4,3,3,3,4,4,4,4,4,1,3,3,3,3,3,2,2,3,4,5,3,2,3,4,4.24
"543",2,2,3,3,2,1,3,2,2,3,2,2,3,3,1,1,1,4,3,2,3,3,1,3,5,3,2,4,3,3.03
"544",2,2,3,3,2,2,3,3,1,3,3,3,3,3,3,3,2,3,3,2,2,3,2,4,4,4,2,3,3,3.12
"545",3,4,4,2,2,3,3,2,1,2,3,2,3,3,3,2,3,3,3,2,5,4,5,5,5,2,4,5,5,3.29
"546",4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3.25
"550",3,2,3,3,2,3,3,2,2,3,3,3,2,3,2,3,3,3,3,3,4,2,4,4,4,2,4,2,2,3.68
"551",4,2,3,3,3,3,4,4,2,3,3,3,4,3,3,3,2,3,3,2,4,2,4,4,4,2,2,4,4,3.25
"552",4,3,4,2,3,3,4,3,3,3,3,3,3,3,1,2,3,2,2,2,2,2,2,4,3,2,4,2,2,3.17
"553",3,3,3,3,2,2,3,2,2,3,3,3,3,3,2,2,2,3,3,3,2,3,2,4,4,3,2,4,4,3.38
"554",2,2,3,3,3,2,2,3,2,3,3,3,3,3,3,3,3,3,3,2,2,3,2,4,3,4,2,4,4,3.16
"555",1,3,1,4,3,1,3,4,1,1,2,3,3,2,4,3,4,4,4,4,3,3,4,4,3,2,3,3,4,3.2
"556",3,2,3,2,3,3,2,2,2,3,2,3,3,3,3,3,2,3,3,2,1,3,4,4,1,2,2,3,4,3.43
"557",3,4,4,3,4,3,3,3,3,3,3,2,3,3,2,3,2,4,3,3,3,3,3,5,5,4,2,3,3,4.24
"558",4,2,4,3,3,3,2,3,3,3,3,3,3,3,2,3,3,4,3,4,4,3,4,5,5,4,2,4,3,3.2
"559",3,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3,4,5,5,4,2,5,4,3.25
"560",3,2,3,3,2,3,3,4,2,4,4,4,4,4,4,4,4,4,4,5,4,3,5,5,5,5,3,5,5,4.07
"561",4,2,3,4,2,3,3,3,2,2,2,3,3,3,2,3,3,4,4,4,4,3,3,4,5,2,3,4,4,2.81
"562",4,4,4,2,4,4,3,3,3,4,4,2,4,3,2,2,3,3,4,5,3,3,2,2,4,2,4,3,4,3.98
"563",3,3,3,3,3,3,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,5,2,4,4,4,3,3.03
"564",4,3,4,4,4,3,4,3,3,3,2,3,4,3,3,3,3,3,3,4,4,3,5,4,5,3,3,2,5,3.03
"566",4,3,4,3,3,4,3,3,3,4,4,3,4,3,3,3,4,4,4,2,4,3,5,4,4,5,5,3,4,3.51
"567",4,3,4,4,4,4,4,4,3,3,4,3,3,4,3,3,3,4,4,4,4,2,3,5,5,3,3,4,4,3.03
"568",3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,4,3,3,4,3,5,5,5,2,3,4,4,3
"569",3,4,4,4,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,2,2,1,4,4,4,3,1,1,2,3.46
"570",2,2,3,2,2,2,2,2,2,2,3,3,2,3,2,2,3,3,3,3,2,4,3,5,5,4,3,2,4,3.29
"571",3,3,2,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,2,4,5,5,4,4,5,4,3.29
"572",3,3,3,2,3,3,2,3,3,2,1,2,3,2,3,3,2,3,3,5,4,3,1,4,4,4,5,4,3,3.46
"573",3,2,4,3,1,4,3,1,2,2,3,2,3,2,2,3,2,3,3,1,2,2,2,5,4,2,4,2,3,3.72
"574",4,3,3,4,3,4,4,3,3,3,4,4,3,4,3,3,3,4,4,4,3,4,4,5,5,4,5,3,4,3.03
"575",2,3,3,2,1,2,2,2,1,2,2,2,3,3,1,2,2,2,2,1,1,3,2,4,2,2,3,4,4,3.69
"576",4,3,4,2,3,4,4,3,2,4,1,4,4,4,3,2,3,3,3,3,4,4,3,5,3,4,3,3,4,3.39
"577",3,3,4,3,3,3,3,4,2,2,3,2,2,2,2,2,2,2,2,1,1,1,1,4,4,1,2,2,2,3.81
"578",4,4,4,4,4,4,4,3,4,3,4,4,3,3,3,3,3,4,3,4,3,4,4,5,5,4,3,5,4,3.51
"579",3,3,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,4,4,3,5,4,3,4,3,4,3.2
"580",4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,4,3,4,5,4,3,4,5,5,3.25
"582",3,3,1,4,4,3,2,3,2,3,3,3,1,3,3,3,3,4,3,4,3,3,3,4,4,3,3,4,4,3.55
"583",3,4,3,3,2,1,2,1,2,1,2,1,1,2,1,1,1,2,1,2,1,3,1,4,4,1,1,5,2,2.73
"584",3,3,3,4,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,4,2,3,4,5,4,3,2,3,4,3.03
"585",3,3,4,4,3,3,3,2,2,3,3,3,3,3,3,3,3,3,2,4,3,2,4,5,5,3,4,3,3,3.25
"587",3,3,3,2,2,3,2,2,1,2,2,3,2,3,2,3,2,3,3,3,2,3,2,5,3,3,2,3,3,4.18
"588",4,3,4,3,3,3,4,3,3,3,3,3,3,3,3,4,4,4,4,4,3,5,4,4,4,5,2,3,4,3.12
"589",3,2,3,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,3,4,5,2,4,3.59
"590",3,2,4,2,2,4,4,3,2,3,3,3,3,3,3,3,3,3,3,2,4,3,4,4,3,3,3,2,3,3.9
"591",4,3,4,3,3,3,4,3,2,3,3,3,4,3,3,2,3,3,3,3,4,4,3,5,4,4,4,4,3,3.03
"592",4,4,3,3,3,3,3,3,4,3,4,3,3,3,2,3,3,4,4,3,4,4,3,5,4,4,4,3,4,3.25
"593",2,4,3,4,3,2,2,2,1,3,3,3,3,3,3,3,3,4,3,2,2,3,5,5,2,4,2,4,4,3.38
"594",4,4,4,4,4,4,3,4,3,3,4,3,3,3,3,3,3,4,3,4,4,3,3,4,4,3,4,3,3,3.38
"596",4,4,4,3,1,3,3,3,2,2,1,3,3,3,3,3,2,3,3,1,3,1,3,5,5,3,2,3,3,3.33
"597",4,4,4,4,4,3,3,3,3,3,4,3,3,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3.9
"599",4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,3,4,4,4,5,3,3,5,5,5,5,3,2,5,4.2
"600",4,4,3,2,3,3,2,3,1,3,3,3,3,3,3,3,2,4,2,5,3,2,4,4,5,4,2,4,4,2.6
"601",4,4,4,4,4,3,3,3,2,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,5,5,3.33
"602",4,2,4,3,4,3,4,3,3,3,3,4,3,4,3,3,2,3,3,2,3,3,3,4,5,4,2,3,4,4.07
"603",3,3,3,3,4,4,4,4,4,4,3,3,4,3,3,4,3,3,2,5,3,2,5,5,5,1,5,1,5,3.68
"604",4,3,4,3,3,3,4,3,2,3,3,3,3,3,3,3,2,3,3,3,2,4,2,4,2,4,2,3,4,3.21
"605",4,4,4,3,3,4,3,4,3,3,3,3,3,3,3,3,4,3,4,4,3,3,3,5,5,4,3,3,3,3.25
"606",4,3,4,2,2,3,3,3,2,2,3,2,3,2,2,2,2,2,2,3,3,2,1,5,4,2,2,2,2,3.9
"607",4,2,3,4,3,4,3,3,3,3,3,2,3,3,2,3,3,3,3,2,4,2,2,5,4,2,5,3,2,3.59
"608",4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,3,3,3,3,3,2,3,4,4,4,2,3,2,3,3.64
"609",4,2,4,4,3,4,4,4,3,3,3,3,3,3,1,1,3,2,2,5,4,2,1,4,5,4,4,2,4,3.16
"610",3,3,3,2,1,3,1,3,1,3,4,3,3,3,3,3,3,3,3,2,2,3,2,4,3,2,3,2,2,3.33
"611",4,3,4,4,4,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,4,4,3,4,2,4,3.68
"612",3,3,3,3,3,3,4,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,3,4,4,5,4,3.01
"613",2,4,3,3,2,3,2,2,2,3,3,2,3,3,3,2,3,4,3,4,3,3,3,3,3,3,3,3,3,2.08
"614",3,4,3,3,2,4,2,3,2,3,3,3,3,3,3,3,3,4,3,3,3,3,3,5,5,3,3,3,3,3.25
"615",4,4,2,3,3,4,4,3,2,2,4,4,4,4,4,4,4,4,4,5,2,3,4,4,5,5,1,3,4,3.77
"616",3,3,4,3,3,3,3,3,2,3,3,2,3,3,2,3,3,3,3,3,2,3,4,4,4,3,4,3,3,2.6
"617",3,3,3,3,3,3,4,3,3,3,3,2,3,2,3,3,3,3,3,4,3,2,2,4,5,3,4,4,5,2.42
"619",2,2,3,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,4,3,3,3,3,3.46
"620",4,3,4,3,4,4,4,3,3,3,3,3,4,3,2,2,3,4,2,2,4,2,4,4,4,2,4,2,3,4.16
"621",4,4,4,4,3,4,2,1,2,2,3,3,3,3,2,3,3,3,3,2,2,4,3,5,2,4,2,4,3,3.76
"622",3,3,3,3,2,4,3,2,2,3,3,3,3,3,3,3,3,4,3,4,4,3,5,5,2,4,4,5,4,3.81
"624",4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,5,4,4,2,4,5,3.52
"625",3,2,4,3,3,1,3,2,2,1,1,1,2,2,1,1,1,2,1,4,3,3,4,5,5,4,1,4,3,3.71
"627",3,3,3,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,2,3.46
"628",4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,3,2,4,3,4,5,4,4,4,4,3.46
"629",3,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,3,5,5,5,4,3,4,4,3.38
"630",4,4,4,3,4,4,4,4,3,3,3,4,3,4,3,3,3,4,3,2,2,3,3,5,5,3,4,4,4,3.16
"631",2,2,4,2,3,2,3,4,2,4,4,3,3,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,3.13
"632",4,4,4,3,4,4,2,4,2,3,3,3,3,3,3,3,2,4,3,2,1,2,4,4,2,4,2,3,4,4.08
"633",3,4,4,4,3,4,3,3,2,1,3,2,2,1,1,2,2,3,2,2,2,1,1,4,4,2,2,1,3,3.46
"634",2,2,4,2,2,4,3,2,2,3,3,3,3,3,3,3,3,4,3,3,4,2,3,5,3,3,3,4,3,2.9
"636",4,4,4,4,4,4,4,3,3,3,4,3,3,4,3,4,4,4,4,5,5,3,5,5,2,5,5,5,5,2.6
"637",4,2,4,3,2,3,4,2,2,2,3,3,2,3,2,3,3,3,2,4,4,2,4,5,3,2,4,4,4,3.9
"638",3,4,4,2,3,3,2,3,3,3,3,2,3,3,2,2,3,3,3,2,4,4,2,4,4,4,2,4,4,3.68
"639",3,3,4,3,3,3,2,3,2,3,3,3,2,2,2,2,2,3,2,3,2,4,2,5,2,4,4,3,3,4.03
"640",3,2,3,2,3,4,3,4,3,3,4,3,3,4,4,4,3,4,4,5,4,5,5,5,5,5,4,5,5,3.81
"641",4,4,4,4,2,4,3,4,3,3,4,4,3,4,3,3,3,4,3,2,4,4,4,5,2,4,5,4,4,3.81
"642",3,3,3,3,3,3,3,3,2,3,3,4,4,4,3,3,3,4,4,3,3,4,4,5,4,4,4,4,4,3.81
"643",3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,4,2,3,4,4,4,4,3,4,2.6
"644",3,3,4,4,4,3,4,3,3,3,4,4,3,4,3,3,4,4,4,3,2,4,3,5,5,3,3,5,4,3.25
"646",3,4,4,3,3,3,3,3,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,4,4,4,2,2,2,3.38
"647",2,2,2,3,4,4,2,2,3,3,3,3,3,2,2,3,2,4,3,4,4,3,4,4,5,4,4,4,5,3.42
"648",3,2,4,4,2,4,4,3,3,3,4,3,3,3,3,2,4,4,3,4,5,3,3,3,2,3,4,3,5,3.2
"649",3,2,4,2,3,4,3,3,2,2,2,2,2,2,2,2,2,3,1,3,1,5,2,4,4,3,2,4,1,3.42
"650",4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,2,2,2,1,2,4,3,1,4,3,3.35
"651",4,4,4,3,4,3,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,4,3,2,3,4,3.68
"652",4,4,4,4,4,4,3,3,3,3,4,3,3,3,3,3,3,4,3,4,4,4,4,4,2,5,4,5,5,3.17
"653",3,4,4,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,2,3,2,4,5,4,3,3,2,3,3.06
"654",3,4,4,3,3,4,3,3,2,3,3,3,2,3,2,3,3,3,3,2,2,2,4,4,5,2,2,2,3,3.68
"656",3,1,3,2,2,3,4,3,1,3,3,3,3,3,3,3,3,4,3,4,4,4,5,5,4,5,1,5,5,3.03
"658",3,4,4,3,3,4,3,3,3,3,3,3,2,4,3,3,3,3,2,3,3,3,4,3,4,2,3,3,3,3.81
"659",4,4,4,4,4,4,3,2,2,3,3,3,3,3,2,2,3,3,3,2,2,3,2,4,4,2,2,2,2,3.46
"661",3,4,3,4,4,2,3,3,2,3,3,3,3,4,1,2,2,3,3,1,3,3,2,3,5,3,2,2,3,3.42
"662",3,2,3,2,2,3,2,2,2,3,3,2,3,3,2,2,3,3,2,4,3,2,3,3,4,2,4,2,2,3.25
"664",3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,4,4,4,3,3.38
"665",3,3,3,4,3,3,2,3,2,2,3,2,2,2,2,2,3,2,3,3,4,2,2,4,4,2,2,3,4,3.24
"666",3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,2,4,4,4,2,2,2,4,3.03
"667",4,4,4,4,3,4,3,2,2,2,3,2,4,2,1,3,3,3,2,3,4,2,2,3,4,1,2,2,3,3.68
"668",3,3,3,4,3,2,3,3,2,2,3,2,2,3,2,2,2,3,3,3,4,2,2,5,4,2,3,3,2,3.38
